,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
67,Avco Lycoming,T53-L-13B,"EH-1H, HH-1H, UH-1H/M/V",1043.98,0.35280088494824396,,7.4,1 + FT,,5 + 1C,2.0,,2.0,1.20904,0.5841999999999999,247.20764
68,KHI,T53-K-13B2,HH-1H,1043.98,0.35280088494824396,,7.4,1 + FT,,5 + 1C,2.0,,2.0,1.20904,0.5841999999999999,244.93968
69,Avco Lycoming,T53-L-17A,Kaman K-Max,1118.55,0.35888365882666196,13.0,7.4,1 + FT,,5 + 1C,2.0,,2.0,1.20904,0.5841999999999999,247.20764
70,Avco Lycoming,T53-L-701A,"OV-1D, RV-1D, TCH-1A, XC-2",1043.98,0.35888365882666196,,7.4,1 + FT,,5 + 1C,2.0,,2.0,1.48336,0.5841999999999999,314.339256
71,Avco Lycoming,T53-L-703,"AH-1E/F/P/S, UH-1HP, TAH-1F/S",1342.26,0.34550155629414236,,8.0,1 + FT,,7 + 1C,2.0,,2.0,1.20904,0.5841999999999999,247.20764
72,KHI,T53-K-703,"AH-1E, UH-1J",1342.26,0.34550155629414236,,8.0,1 + FT,,7 + 1C,2.0,,2.0,1.20904,0.5841999999999999,247.20764
73,Avco Lycoming,YT55-L-9,Piper Enforcer,1864.25,0.3698326518078144,,,1 + FT,,7 + 1C,2.0,,2.0,1.57988,0.61468,362.420008
74,Avco Lycoming,T55-L-712,"CH-47D, MH-47D, Chinook HC.1/HC.1B",2796.375,0.316304241677736,,8.2,1 + FT,,7 + 1C,2.0,,2.0,1.2319,0.72898,344.72992
75,Avco Lycoming,T55-L-712E,CH-47C+,2796.375,0.316304241677736,,8.2,1 + FT,,7 + 1C,2.0,,2.0,1.2319,0.72898,344.72992
76,Avco Lycoming,T55-L-712F,Chinook HC.2/HC.2A,2796.375,0.316304241677736,,8.2,1 + FT,,7 + 1C,2.0,,2.0,1.2319,0.72898,344.72992
77,KHI,T55-K-712,CH-47-414,2796.375,0.316304241677736,,7.4,1 + FT,,7 + 1C,2.0,,2.0,1.2319,0.72898,244.93968
78,Avco Lycoming (Textron Lycoming),T55-L-714,"CH-47D, MH-47E",3629.3219000000004,0.3059635260844254,29.0,9.3,1 + FT,,7 + 1C,2.0,,2.0,1.2319,0.72898,362.8736
79,Avco Lycoming (Textron Lycoming),T55-L-714A,"CH-47F, MH-47G",3629.3219000000004,0.3041386939209,,9.3,1 + FT,,7 + 1C,2.0,,2.0,1.2319,0.72898,377.388544
80,Allison,T56-A-14,"P-3B/C, CP-140 Aurora",3423.5087000000003,0.328469789434572,32.0,9.6,1,,14,4.0,,,3.7160200000000003,1.2446,855.02092
81,IHI,T56-IHI-14,P-3C,3423.5087000000003,0.361925045765871,32.0,9.5,1,,14,4.0,,,3.7160200000000003,1.2446,855.02092
82,Allison,T56-A-15,"C-130H/K, EC-130E, HC-130H/N/P, TC-130H, Hercules C.1/C.3,  CC-130H Hercules",3423.5087000000003,0.328469789434572,32.0,9.6,1,,14,4.0,,,3.7160200000000003,1.13284,838.238016
83,Allison,T56-A-427,E-2C+,3914.925,0.28589037228564596,,12.0,1,,14,4.0,,,3.71094,1.2268199999999998,879.96848
84,GE,T58-GE-5,"CH-3E, HH-3E/F, SH-3E/F",1118.55,0.36496643270507995,,8.4,2,,10,2.0,,1.0,1.4986,0.5308599999999999,151.95332
85,GE,T58-GE-8F,"SH-2F, SH-3G, UH-2C, CH-124A/B Sea King",1006.695,0.36496643270507995,,8.2,2,,10,2.0,,1.0,1.4986,0.51308,138.34556
86,GE,T58-GE-10,"CH-46D/F, UH-46D/F, HH-2D, HH-3F, SH-3D/G/H, ASH-3A/D/TS,  AS-61R",1043.98,0.377131980461916,14.0,8.4,2,,10,2.0,,1.0,1.4986,0.51308,158.7572
87,GE,T58-GE-16,CH-46E,1394.459,0.322387015556154,14.0,8.4,2,,10,2.0,,2.0,1.6078199999999998,0.61468,199.58048
88,Allison,T63-A-720,"OH-58C, TH-57",311.7026,0.4197113976108419,4.0,7.3,2,,6 + 1C,2.0,,2.0,1.03632,0.5892799999999999,71.667536
89,MTU,T64-MTU-7,CH-53G,2926.8725,0.29197314616406395,,13.0,1 + FT,,14,2.0,,2.0,2.0065999999999997,0.51054,322.957504
90,GE,T64-GE-7A,"CH-53C, HH-53C",2935.0752,0.28589037228564596,,14.1,1 + FT,,14,2.0,,2.0,2.0065999999999997,0.51054,326.58624
91,GE,T64-GE-16A,"CH-53A, YAH-56A",2598.7645,0.29197314616406395,27.0,13.0,1 + FT,,14,2.0,,2.0,2.0065999999999997,0.61468,326.58624
92,GE,T64-GE-100,"MH-53J, TH-53A, S-65A",3228.8810000000003,0.29197314616406395,29.0,14.9,1 + FT,,14,2.0,,2.0,2.0065999999999997,0.61468,326.58624
93,GE,T64-GE-413,"CH-53D, RH-53A, VH-53D",2926.8725,0.28589037228564596,29.0,14.1,1 + FT,,14,2.0,,2.0,2.0065999999999997,0.61468,326.58624
94,GE,T64-GE-413A,"CH-53D, RH-53D, VH-53D",2926.8725,0.28589037228564596,29.0,14.1,1 + FT,,14,2.0,,2.0,2.0065999999999997,0.61468,326.58624
95,GE,T64-GE-415,"RH-53D/E, MH-53J/M, TH-53B",3266.166,0.28589037228564596,29.0,14.8,1 + FT,,14,2.0,,2.0,2.0065999999999997,0.61468,326.58624
96,GE,T64-GE-P4D-1,C-27A,2535.38,0.29197314616406395,27.0,13.2,1 + FT,,14,2.0,,2.0,2.794,0.51054,538.867296
97,Pratt Whitney,T73-P-1,CH-54A,3355.65,0.4197113976108419,,,1 + FT,,9,2.0,,2.0,,0.8635999999999999,417.30464
98,Pratt Whitney,T73-P-700,CH-54B,3579.36,0.41849484283515836,,,1 + FT,,9,2.0,,2.0,,0.8635999999999999,424.10852
99,Garrett,T76-G-10,OV-10A,775.528,0.36496643270507995,,8.6,1,,2,3.0,,,1.0922,0.6858,154.674872
100,Pratt Whitney Canada,T101-CP-100,C-23A/B,633.845,0.3363773954765154,,,1 + FT,,3 + 1C,2.0,,2.0,1.8288,0.4826,203.209216
101,Allison (Rolls-Royce),T406-AD-400,"CV-22A/B, HV-22A/B, MV-22A/B, USMC HLR  (proposed)",4586.055,0.2591261672206068,36.0,16.7,1 + FT,,14,2.0,,2.0,1.9583399999999997,0.86868,440.437832
102,GE,T700-GE-401,"AH-1W/Z, SH-2G, TAH-1W, HH-60D, SH-60B, AH-1T+ prototype",1282.604,0.2822407079585952,,17.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,200.034072
103,GE,T700-GE-401C,"UH-1Y, HH-60H/J, MH-60S, SH-60B/F/H, S-70B/C, AH-1Z (proposed)",1342.26,0.2791993210193862,,18.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,207.745136
104,IHI,T700-IHI-401C,"UH-60J/JA, S-70J/K",1342.26,0.2791993210193862,,18.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,207.745136
105,GE,T700-GE-700,"EH-60A/C, HH-60G, MH-60A/D/G,  UH-60A/P/Q, VH-60N, S-70A, YUH-61A, AH-1T+ prototype, HH-60A/E  (not produced)",1209.5254,0.282848985346437,10.0,17.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,198.219704
106,GE,T700-GE-701,"AH-1Z, AH-64A",1282.604,0.2822407079585952,,17.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,198.673296
107,GE,T700-GE-701A,S-70C,1282.604,0.282848985346437,,17.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,198.673296
108,GE,T700-GE-701C,"EH-60L, HH-60G/L/M, MH-60G/K/L,  NSH-60R, UH-60L, S-70A/C, S-70A-9, AH-64A/D, AH-1Z",1409.373,0.2810241531829116,,18.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,206.837952
109,GE,T700-GE-701D,"AH-64D, UH-60M",1449.6408000000001,0.282848985346437,,18.0,1 + FT,,5 + 1C,2.0,,2.0,1.1683999999999999,0.635,206.837952
110,GE,T700-GE-T6A,"EH101 Mk.110/112/410, US101 (candidate  engine)",1491.4,0.27372482452881,,18.0,1 + FT,,5 + 1C,2.0,,2.0,1.22428,0.635,219.99212
111,GE,T700-GE-T6A-1,CH-149 Cormorant (EH101 Mk.511),1599.5265000000002,0.270683437589601,,19.0,1 + FT,,5 + 1C,2.0,,2.0,1.22428,0.635,223.620856
112,GE,T700-GE-T6E,"NH90 NFH/TTH, HKP-14 (option)",1692.739,0.2639923863233412,,19.0,1 + FT,,5 + 1C,2.0,,2.0,1.22428,0.635,240.857352
113,GE,T700-GE-T6E-1,"NH90 NFH/TTH, HKP-14 (option)",1692.739,0.2639923863233412,,19.0,1 + FT,,5 + 1C,2.0,,2.0,1.22428,0.635,243.578904
114,Allison,T703-AD-700,"OH-58D, Combat Scout 406 (proposed)",484.70500000000004,0.35280088494824396,,8.6,1 + FT,,1C,2.0,,2.0,1.09728,0.63754,102.0582
115,LHTEC,T800-LHT-800,RAH-66A (not produced),1043.98,0.27250826975312636,,14.1,1 + FT,,2C,2.0,,2.0,0.84328,0.66294,142.88148
116,Turbomeca,TM333-2B2,Dhruv,823.9985,0.3217787381683122,,,1 + FT,,2 + 1C,1.0,,1.0,1.04394,0.7111999999999999,156.48924
117,Turbomeca,TM333-2M2,"Cheetal, Chetan (proposed)",823.9985,0.3217787381683122,,,1 + FT,,2 + 1C,1.0,,1.0,1.04394,0.7111999999999999,156.48924
118,Garrett,TPE331-2-201A,Skyvan 3M/3M-200,533.1755,0.3382022276400408,,8.3,1,,2C,3.0,,,,0.6604,152.406912
